experiment_id,date_time,source,base_experiment_id,stress_type,stress_parameter,stress_value,track,agent_version,state_version,policy_version,reward_version,algorithm,run_number,seed,target_speed,steer_gain,centering_gain,brake_threshold,gentle_speed,sharp_speed,straight_speed,acceleration_limit,braking_intensity,best_lap_time,average_lap_time,completed_lap,completion_rate,crash_count,off_track_count,lap_time_variance,training_time_seconds,runtime_per_run_seconds,decision_latency_ms,cpu_usage,memory_usage,config_path,telemetry_file,notes
EXP_001,2026-08-03T22:15:23.223877+00:00,dummy,,,,,corkscrew,baseline_rule_v1,baseline_raw_v1,baseline_rule_v1,none_rule_based,rule_based,1,43.0,80.0,1.0,0.5,0.6,45.0,35.0,95.0,0.8,0.25,158.352,161.09033333333332,1,1.0,0,0,4.50893888888886,0.0,0.0037,0.00755,88.2,18.89,/Users/thenotoriouscode/Desktop/Part_C_Experimentation/configs/baseline_config.yaml,/Users/thenotoriouscode/Desktop/Part_C_Experimentation/data/telemetry_logs/EXP_001_run_1.csv,dummy run; replace simulator with live TORCS later
EXP_001,2026-08-03T22:15:23.227059+00:00,dummy,,,,,corkscrew,baseline_rule_v1,baseline_raw_v1,baseline_rule_v1,none_rule_based,rule_based,2,44.0,80.0,1.0,0.5,0.6,45.0,35.0,95.0,0.8,0.25,158.352,161.09033333333332,1,1.0,0,0,4.50893888888886,0.0,0.003,0.00701,0.0,18.91,/Users/thenotoriouscode/Desktop/Part_C_Experimentation/configs/baseline_config.yaml,/Users/thenotoriouscode/Desktop/Part_C_Experimentation/data/telemetry_logs/EXP_001_run_2.csv,dummy run; replace simulator with live TORCS later
EXP_001,2026-08-03T22:15:23.230194+00:00,dummy,,,,,corkscrew,baseline_rule_v1,baseline_raw_v1,baseline_rule_v1,none_rule_based,rule_based,3,45.0,80.0,1.0,0.5,0.6,45.0,35.0,95.0,0.8,0.25,158.352,161.09033333333332,1,1.0,0,0,4.50893888888886,0.0,0.003,0.00716,33.35,18.91,/Users/thenotoriouscode/Desktop/Part_C_Experimentation/configs/baseline_config.yaml,/Users/thenotoriouscode/Desktop/Part_C_Experimentation/data/telemetry_logs/EXP_001_run_3.csv,dummy run; replace simulator with live TORCS later
EXP_001,2026-08-03T22:55:40.965256+00:00,live,,,,,corkscrew,baseline_rule_v1,baseline_raw_v1,baseline_rule_v1,none_rule_based,torcs_live,1,43.0,80.0,1.0,0.5,0.6,45.0,35.0,95.0,0.8,0.25,0.0,0.0,0,0.0,0,0,0.0,0.0,1.0137,0.0,14.55,17.42,/Users/thenotoriouscode/Desktop/Part_C_Experimentation/configs/baseline_config.yaml,/Users/thenotoriouscode/Desktop/Part_C_Experimentation/data/telemetry_logs/EXP_001_live_run_1.csv,live TORCS run
EXP_001,2026-08-04T00:13:29.984333+00:00,live,,,,,corkscrew,baseline_rule_v1,baseline_raw_v1,baseline_rule_v1,none_rule_based,torcs_live,1,43.0,80.0,1.0,0.5,0.6,45.0,35.0,95.0,0.8,0.25,0.0,0.0,0,0.0,0,0,0.0,0.0,1.0133,0.0,22.25,17.33,/Users/thenotoriouscode/Desktop/Part_C_Experimentation/configs/baseline_config.yaml,/Users/thenotoriouscode/Desktop/Part_C_Experimentation/data/telemetry_logs/EXP_001_live_run_1.csv,live TORCS run
EXP_001,2026-08-04T00:24:27.126034+00:00,live,,,,,corkscrew,baseline_rule_v1,baseline_raw_v1,baseline_rule_v1,none_rule_based,torcs_live,1,43.0,80.0,1.0,0.5,0.6,45.0,35.0,95.0,0.8,0.25,0.0,0.0,0,0.0,0,0,0.0,0.0,108.0545,0.0,15.35,17.45,/Users/thenotoriouscode/Desktop/Part_C_Experimentation/configs/baseline_config.yaml,/Users/thenotoriouscode/Desktop/Part_C_Experimentation/data/telemetry_logs/EXP_001_live_run_1.csv,live TORCS run
EXP_001,2026-08-04T01:05:05.903207+00:00,live,,,,,corkscrew,baseline_rule_v1,baseline_raw_v1,baseline_rule_v1,none_rule_based,torcs_live,1,43.0,80.0,1.0,0.5,0.6,45.0,35.0,95.0,0.8,0.25,195.766,195.766,1,1.0,0,0,0.0,0.0,199.4782,0.04139,23.85,19.48,/Users/thenotoriouscode/Desktop/Part_C_Experimentation/configs/baseline_config.yaml,/Users/thenotoriouscode/Desktop/Part_C_Experimentation/data/telemetry_logs/EXP_001_live_run_1.csv,live TORCS run
EXP_001,2026-08-05T01:48:57.630362+00:00,dummy,,,,,corkscrew,baseline_rule_v1,baseline_raw_v1,baseline_rule_v1,none_rule_based,rule_based,1,43.0,80.0,1.0,0.5,0.6,45.0,35.0,95.0,0.8,0.25,158.352,161.09033333333332,1,1.0,0,0,4.50893888888886,0.0,0.0022,0.00439,25.45,17.38,/Users/thenotoriouscode/Desktop/Part_C_Experimentation/configs/baseline_config.yaml,/Users/thenotoriouscode/Desktop/Part_C_Experimentation/data/telemetry_logs/EXP_001_run_1.csv,dummy run; replace simulator with live TORCS later
EXP_001,2026-08-05T01:48:57.632198+00:00,dummy,,,,,corkscrew,baseline_rule_v1,baseline_raw_v1,baseline_rule_v1,none_rule_based,rule_based,2,44.0,80.0,1.0,0.5,0.6,45.0,35.0,95.0,0.8,0.25,158.352,161.09033333333332,1,1.0,0,0,4.50893888888886,0.0,0.0017,0.0043,0.0,17.38,/Users/thenotoriouscode/Desktop/Part_C_Experimentation/configs/baseline_config.yaml,/Users/thenotoriouscode/Desktop/Part_C_Experimentation/data/telemetry_logs/EXP_001_run_2.csv,dummy run; replace simulator with live TORCS later
EXP_001,2026-08-05T01:48:57.633963+00:00,dummy,,,,,corkscrew,baseline_rule_v1,baseline_raw_v1,baseline_rule_v1,none_rule_based,rule_based,3,45.0,80.0,1.0,0.5,0.6,45.0,35.0,95.0,0.8,0.25,158.352,161.09033333333332,1,1.0,0,0,4.50893888888886,0.0,0.0017,0.00417,50.0,17.38,/Users/thenotoriouscode/Desktop/Part_C_Experimentation/configs/baseline_config.yaml,/Users/thenotoriouscode/Desktop/Part_C_Experimentation/data/telemetry_logs/EXP_001_run_3.csv,dummy run; replace simulator with live TORCS later
GRID_001,2026-08-05T01:49:11.336043+00:00,grid_dummy,,,,,corkscrew,baseline_rule_v1,baseline_raw_v1,baseline_rule_v1,none_rule_based,grid_search,1,43.0,70.0,0.8,0.5,0.5,40.0,30.0,85.0,0.8,0.25,162.852,165.59033333333332,1,1.0,0,0,4.50893888888886,0.0,0.002,0.0041,12.5,17.38,/Users/thenotoriouscode/Desktop/Part_C_Experimentation/configs/generated_grid/GRID_001.yaml,/Users/thenotoriouscode/Desktop/Part_C_Experimentation/data/telemetry_logs/GRID_001_run_1.csv,dummy run; replace simulator with live TORCS later
GRID_001,2026-08-05T01:49:11.337795+00:00,grid_dummy,,,,,corkscrew,baseline_rule_v1,baseline_raw_v1,baseline_rule_v1,none_rule_based,grid_search,2,44.0,70.0,0.8,0.5,0.5,40.0,30.0,85.0,0.8,0.25,162.852,165.59033333333332,1,1.0,0,0,4.50893888888886,0.0,0.0016,0.00394,0.0,17.41,/Users/thenotoriouscode/Desktop/Part_C_Experimentation/configs/generated_grid/GRID_001.yaml,/Users/thenotoriouscode/Desktop/Part_C_Experimentation/data/telemetry_logs/GRID_001_run_2.csv,dummy run; replace simulator with live TORCS later
GRID_001,2026-08-05T01:49:11.339493+00:00,grid_dummy,,,,,corkscrew,baseline_rule_v1,baseline_raw_v1,baseline_rule_v1,none_rule_based,grid_search,3,45.0,70.0,0.8,0.5,0.5,40.0,30.0,85.0,0.8,0.25,162.852,165.59033333333332,1,1.0,0,0,4.50893888888886,0.0,0.0016,0.00394,0.0,17.41,/Users/thenotoriouscode/Desktop/Part_C_Experimentation/configs/generated_grid/GRID_001.yaml,/Users/thenotoriouscode/Desktop/Part_C_Experimentation/data/telemetry_logs/GRID_001_run_3.csv,dummy run; replace simulator with live TORCS later
GRID_010,2026-08-05T01:49:19.877099+00:00,grid_dummy,,,,,corkscrew,baseline_rule_v1,baseline_raw_v1,baseline_rule_v1,none_rule_based,grid_search,1,43.0,70.0,0.8,0.5,0.5,45.0,35.0,85.0,0.8,0.25,162.852,165.59033333333332,1,1.0,0,0,4.50893888888886,0.0,0.002,0.004,11.55,17.39,/Users/thenotoriouscode/Desktop/Part_C_Experimentation/configs/generated_grid/GRID_010.yaml,/Users/thenotoriouscode/Desktop/Part_C_Experimentation/data/telemetry_logs/GRID_010_run_1.csv,dummy run; replace simulator with live TORCS later
GRID_010,2026-08-05T01:49:19.878832+00:00,grid_dummy,,,,,corkscrew,baseline_rule_v1,baseline_raw_v1,baseline_rule_v1,none_rule_based,grid_search,2,44.0,70.0,0.8,0.5,0.5,45.0,35.0,85.0,0.8,0.25,162.852,165.59033333333332,1,1.0,0,0,4.50893888888886,0.0,0.0016,0.00391,33.35,17.42,/Users/thenotoriouscode/Desktop/Part_C_Experimentation/configs/generated_grid/GRID_010.yaml,/Users/thenotoriouscode/Desktop/Part_C_Experimentation/data/telemetry_logs/GRID_010_run_2.csv,dummy run; replace simulator with live TORCS later
GRID_010,2026-08-05T01:49:19.880517+00:00,grid_dummy,,,,,corkscrew,baseline_rule_v1,baseline_raw_v1,baseline_rule_v1,none_rule_based,grid_search,3,45.0,70.0,0.8,0.5,0.5,45.0,35.0,85.0,0.8,0.25,162.852,165.59033333333332,1,1.0,0,0,4.50893888888886,0.0,0.0016,0.00387,0.0,17.42,/Users/thenotoriouscode/Desktop/Part_C_Experimentation/configs/generated_grid/GRID_010.yaml,/Users/thenotoriouscode/Desktop/Part_C_Experimentation/data/telemetry_logs/GRID_010_run_3.csv,dummy run; replace simulator with live TORCS later
GRID_020,2026-08-05T01:49:27.833505+00:00,grid_dummy,,,,,corkscrew,baseline_rule_v1,baseline_raw_v1,baseline_rule_v1,none_rule_based,grid_search,1,43.0,70.0,1.0,0.5,0.5,50.0,40.0,85.0,0.8,0.25,162.852,165.59033333333332,1,1.0,0,0,4.50893888888886,0.0,0.0021,0.004,10.0,17.67,/Users/thenotoriouscode/Desktop/Part_C_Experimentation/configs/generated_grid/GRID_020.yaml,/Users/thenotoriouscode/Desktop/Part_C_Experimentation/data/telemetry_logs/GRID_020_run_1.csv,dummy run; replace simulator with live TORCS later
GRID_020,2026-08-05T01:49:27.835282+00:00,grid_dummy,,,,,corkscrew,baseline_rule_v1,baseline_raw_v1,baseline_rule_v1,none_rule_based,grid_search,2,44.0,70.0,1.0,0.5,0.5,50.0,40.0,85.0,0.8,0.25,162.852,165.59033333333332,1,1.0,0,0,4.50893888888886,0.0,0.0017,0.0041,0.0,17.69,/Users/thenotoriouscode/Desktop/Part_C_Experimentation/configs/generated_grid/GRID_020.yaml,/Users/thenotoriouscode/Desktop/Part_C_Experimentation/data/telemetry_logs/GRID_020_run_2.csv,dummy run; replace simulator with live TORCS later
GRID_020,2026-08-05T01:49:27.836952+00:00,grid_dummy,,,,,corkscrew,baseline_rule_v1,baseline_raw_v1,baseline_rule_v1,none_rule_based,grid_search,3,45.0,70.0,1.0,0.5,0.5,50.0,40.0,85.0,0.8,0.25,162.852,165.59033333333332,1,1.0,0,0,4.50893888888886,0.0,0.0016,0.00391,0.0,17.69,/Users/thenotoriouscode/Desktop/Part_C_Experimentation/configs/generated_grid/GRID_020.yaml,/Users/thenotoriouscode/Desktop/Part_C_Experimentation/data/telemetry_logs/GRID_020_run_3.csv,dummy run; replace simulator with live TORCS later
