step,distRaced,distFromStart,section,speedX,base_target_speed,proposed_target_speed,target_adjustment,target_speed,rl_target_active,safety_intervention,policy_inference,action_reused,adaptive_inference_urgent,trackPos,angle,damage,curLapTime,lastLapTime,best_lap_time,steer,residual,accel,brake,gear,reward,done_reason
0,0.0,3598.45,normal,-0.00913,136.0,67.742218,-68.257782,136.0,1,0,1,0,0,0.333439,0.008223,0.0,0.0,0.0,,0.0,-0.964617,0.65,0.0,1,0.0,
1,0.0,3598.45,normal,-0.00913,136.0,67.754741,-68.245259,136.0,1,0,1,0,0,0.333439,0.008223,0.0,0.0,0.0,,0.0,-0.964455,0.99,0.0,1,-0.009305,
2,0.0,3598.45,normal,-0.00913,136.0,67.777242,-68.222758,136.0,1,0,1,0,0,0.333439,0.008223,0.0,0.0,0.0,,0.0,-0.964165,1.0,0.0,1,-0.009302,
3,0.0,3598.45,normal,-0.00913,136.0,67.803138,-68.196862,136.0,1,0,1,0,0,0.333439,0.008223,0.0,0.0,0.0,,0.0,-0.96383,1.0,0.0,1,-0.009296,
4,0.0,3598.45,normal,-0.00913,136.0,67.829603,-68.170397,136.0,1,0,1,0,0,0.333439,0.008223,0.0,0.0,0.0,,0.0,-0.963489,1.0,0.0,1,-0.00929,
5,0.0,3598.45,normal,-0.00913,136.0,67.862493,-68.137507,136.0,1,0,1,0,0,0.333439,0.008223,0.0,0.0,0.0,,0.0,-0.963065,1.0,0.0,1,-0.009283,
6,0.0,3598.45,normal,-0.00913,136.0,67.904848,-68.095152,136.0,1,0,1,0,0,0.333439,0.008223,0.0,0.0,0.0,,0.0,-0.962518,1.0,0.0,1,-0.009275,
7,0.0,3598.45,normal,-0.00913,136.0,67.959513,-68.040487,136.0,1,0,1,0,0,0.333439,0.008223,0.0,0.0,0.0,,0.0,-0.961813,1.0,0.0,1,-0.009264,
8,0.0,3598.45,normal,-0.00913,136.0,68.037322,-67.962678,136.0,1,0,1,0,0,0.333439,0.008223,0.0,0.0,0.0,,0.0,-0.960809,1.0,0.0,1,-0.009251,
9,0.0,3598.45,normal,-0.00913,136.0,68.140518,-67.859482,136.0,1,0,1,0,0,0.333439,0.008223,0.0,0.0,0.0,,0.0,-0.959477,1.0,0.0,1,-0.009232,
10,0.0,3598.45,normal,-0.00913,136.0,68.262391,-67.737609,136.0,1,0,1,0,0,0.333439,0.008223,0.0,0.0,0.0,,0.0,-0.957905,1.0,0.0,1,-0.009206,
11,0.0,3598.45,normal,-0.00913,136.0,68.405785,-67.594215,136.0,1,0,1,0,0,0.333439,0.008223,0.0,0.0,0.0,,0.0,-0.956054,1.0,0.0,1,-0.009176,
12,0.0,3598.45,normal,-0.00913,136.0,68.573195,-67.426805,136.0,1,0,1,0,0,0.333439,0.008223,0.0,0.0,0.0,,0.0,-0.953894,1.0,0.0,1,-0.00914,
13,0.0,3598.45,normal,-0.00913,136.0,68.766187,-67.233813,136.0,1,0,1,0,0,0.333439,0.008223,0.0,0.0,0.0,,0.0,-0.951404,1.0,0.0,1,-0.009099,
14,0.0,3598.45,normal,-0.00913,136.0,68.984674,-67.015326,136.0,1,0,1,0,0,0.333439,0.008223,0.0,0.0,0.0,,0.0,-0.948585,1.0,0.0,1,-0.009052,
15,0.0,3598.45,normal,-0.00913,136.0,69.23472,-66.76528,136.0,1,0,1,0,0,0.333439,0.008223,0.0,0.0,0.0,,0.0,-0.945358,1.0,0.0,1,-0.008998,
16,0.0,3598.45,normal,-0.00913,136.0,69.513373,-66.486627,136.0,1,0,1,0,0,0.333439,0.008223,0.0,0.0,0.0,,0.0,-0.941763,1.0,0.0,1,-0.008937,
17,0.0,3598.45,normal,-0.00913,136.0,69.804689,-66.195311,136.0,1,0,1,0,0,0.333439,0.008223,0.0,0.0,0.0,,0.0,-0.938004,1.0,0.0,1,-0.008869,
18,0.0,3598.45,normal,-0.00913,136.0,70.09884,-65.90116,136.0,1,0,1,0,0,0.333439,0.008223,0.0,0.0,0.0,,0.0,-0.934209,1.0,0.0,1,-0.008799,
19,0.0,3598.45,normal,-0.00913,136.0,70.383074,-65.616926,136.0,1,0,1,0,0,0.333439,0.008223,0.0,0.0,0.0,,0.0,-0.930541,1.0,0.0,1,-0.008727,
20,0.0,3598.45,normal,-0.00913,136.0,70.648729,-65.351271,136.0,1,0,1,0,0,0.333439,0.008223,0.0,0.0,0.0,,0.0,-0.927113,1.0,0.0,1,-0.008659,
21,0.0,3598.45,normal,-0.00913,136.0,70.890169,-65.109831,136.0,1,0,1,0,0,0.333439,0.008223,0.0,0.0,0.0,,0.0,-0.923998,1.0,0.0,1,-0.008595,
22,0.0,3598.45,normal,-0.00913,136.0,71.101606,-64.898394,136.0,1,0,1,0,0,0.333439,0.008223,0.0,0.0,0.0,,0.0,-0.92127,1.0,0.0,1,-0.008538,
