source,experiment_id,algorithm,number_of_trials_or_runs,mean_runtime_per_run_seconds,mean_decision_latency_ms,median_decision_latency_ms,mean_cpu_usage,mean_memory_usage,valid_run_percentage,best_lap_time,performance_per_runtime
dummy,EXP_001,rule_based,9,0.0023333333333333335,0.005227777777777778,0.00439,25.48888888888889,17.883333333333333,100.0,158.352,2.7064478413372015
grid_dummy,GRID_030,grid_search,3,0.0017333333333333333,0.003993333333333333,0.004,17.45,17.349999999999998,100.0,158.352,3.6432951710308483
grid_dummy,GRID_040,grid_search,3,0.0018333333333333333,0.004033333333333333,0.00403,38.199999999999996,17.400000000000002,100.0,158.352,3.444569979883711
grid_dummy,GRID_001,grid_search,3,0.0017333333333333333,0.003993333333333334,0.00394,4.166666666666667,17.400000000000002,100.0,162.852,3.542621993730976
grid_dummy,GRID_010,grid_search,3,0.0017333333333333333,0.003926666666666667,0.00391,14.966666666666669,17.41,100.0,162.852,3.542621993730976
grid_dummy,GRID_020,grid_search,3,0.0017999999999999997,0.004003333333333334,0.004,3.3333333333333335,17.683333333333334,100.0,162.852,3.4114137717409405
grid_live,GRID_040,grid_search,3,12.512333333333332,0.006283333333333333,0.00622,17.666666666666668,19.540000000000003,100.0,198.906,0.0004018035879801958
grid_live,GRID_030,grid_search,3,12.393466666666667,0.006626666666666667,0.00632,16.05,19.683333333333334,100.0,199.806,0.0004038300859378432
live,EXP_001,torcs_live,5,199.17014999999998,0.03794,0.03794,23.675,19.91,40.0,195.766,2.5647112828781024e-05
live,EXP_001,rule_based,3,12.4626,0.006430000000000001,0.00641,33.96666666666667,19.76,100.0,196.726,0.0004078773436877507
live,EXP_SAFE_001,rule_based,1,11.5351,0.01781,0.01781,27.65,19.11,0.0,,0.0
optuna_dummy,OPTUNA_DUMMY_006,optuna,3,0.0016,0.0037633333333333334,0.00378,44.449999999999996,67.72666666666667,100.0,155.644,4.015574002210172
optuna_dummy,OPTUNA_DUMMY_008,optuna,3,0.0016,0.003793333333333334,0.00379,25.0,67.8,100.0,156.589,3.991340387894424
optuna_dummy,OPTUNA_DUMMY_004,optuna,3,0.0016,0.0037233333333333333,0.00369,8.333333333333334,67.7,100.0,157.147,3.9771678746651222
optuna_dummy,OPTUNA_DUMMY_001,optuna,3,0.0016666666666666668,0.004086666666666666,0.00406,10.166666666666666,67.47666666666667,100.0,158.103,3.794994402383256
optuna_dummy,OPTUNA_DUMMY_007,optuna,3,0.0016,0.0037766666666666665,0.00378,41.666666666666664,67.77,100.0,158.2,3.9506953223767383
optuna_dummy,OPTUNA_DUMMY_010,optuna,3,0.0016,0.00379,0.00379,33.333333333333336,67.83,100.0,158.978,3.9313615720414146
optuna_dummy,OPTUNA_DUMMY_003,optuna,3,0.0017,0.004023333333333333,0.00397,5.55,67.68333333333334,100.0,159.619,3.6852460804644003
optuna_dummy,OPTUNA_DUMMY_005,optuna,3,0.0016333333333333332,0.003786666666666667,0.00379,8.333333333333334,67.7,100.0,160.358,3.8179878643983067
optuna_dummy,OPTUNA_DUMMY_002,optuna,3,0.0016666666666666668,0.0040999999999999995,0.00414,5.55,67.61,100.0,162.858,3.6841911358361266
optuna_dummy,OPTUNA_DUMMY_009,optuna,3,0.0016,0.0037733333333333334,0.00377,72.23333333333333,67.81,100.0,163.349,3.8261636128779486
optuna_dummy_replay,OPTUNA_BEST_REPLAY,optuna_replay,3,0.0018000000000000002,0.004073333333333333,0.00412,7.933333333333334,59.84,100.0,158.103,3.5138837059104224
optuna_live,OPTUNA_LIVE_001,optuna,3,12.315100000000001,0.00602,0.00556,16.783333333333335,36.03,100.0,195.526,0.0004152958024592317
partb_imported,PARTB_PPO_OPTIMIZED,PPO-based optimised policy,3,618.7750000000001,0.21543333333333334,0.19955,0.0,322.56333333333333,100.0,106.892,1.5118964181983987e-05
partb_imported,PARTB_IMPORTED_3LAPS_NORMAL,Part B imported residual policy,1,324.022,0.0,0.0,0.0,0.0,100.0,106.986,2.8846860295777038e-05
stress_dummy,EXP_001_STRESS_001,rule_based_stress,2,0.00215,0.00415,0.00415,10.7,18.14,100.0,161.727,2.8759346248292954
stress_dummy,EXP_001_STRESS_002,rule_based_stress,1,0.0017,0.00399,0.00399,16.65,18.36,100.0,163.527,3.5971753540250058
