experiment_id,source,algorithm,run_number,date_time,best_lap_time,runtime_per_run_seconds,telemetry_file,telemetry_exists,file_size_bytes,file_mtime,sha256,telemetry_rows,first_timestamp,last_timestamp,first_lap_time,last_lap_time,max_lap_time,max_speed
EXP_001,live,torcs_live,1,2026-08-04T01:05:05.903207+00:00,195.766,199.4782,/Users/thenotoriouscode/Desktop/Part_C_Experimentation/data/telemetry_logs/EXP_001_live_run_1.csv,True,963148,2026-08-12T13:59:40.953262,fe1b1db9f0f4a7108b09a6e879128b01872f5f1ed836275c1844989f23103d17,9477,2026-08-12T12:56:23.585261+00:00,2026-08-12T12:59:40.953022+00:00,-0.982,196.386,196.386,100.203
EXP_001,live,torcs_live,1,2026-08-12T12:59:40.953902+00:00,196.386,198.8621,/Users/thenotoriouscode/Desktop/Part_C_Experimentation/data/telemetry_logs/EXP_001_live_run_1.csv,True,963148,2026-08-12T13:59:40.953262,fe1b1db9f0f4a7108b09a6e879128b01872f5f1ed836275c1844989f23103d17,9477,2026-08-12T12:56:23.585261+00:00,2026-08-12T12:59:40.953022+00:00,-0.982,196.386,196.386,100.203
EXP_001,live,rule_based,1,2026-08-31T18:11:43.113201+00:00,196.726,12.4836,/Users/thenotoriouscode/Desktop/Part_C_Experimentation/data/telemetry_logs/EXP_001_live_run_1_20260831_181130_629284.csv,True,964351,2026-08-31T19:11:43.111726,0a20c68328ae1f2a3ada456e274f2108736b925b21c3540c3a9c5288f5f0f1ad,9494,2026-08-31T18:11:30.681096+00:00,2026-08-31T18:11:43.111675+00:00,-0.982,196.726,196.726,99.971
EXP_001,live,rule_based,1,2026-08-31T18:37:48.526131+00:00,196.726,13.0854,/Users/thenotoriouscode/Desktop/gaurav-diss-final/data/telemetry_logs/EXP_001_live_run_1_20260831_183735_440099.csv,True,964351,2026-08-31T19:37:48.525933,204a36c4b8355567b60620c3949d7a06717c3d306d29c02cad1118fbd9f31bad,9494,2026-08-31T18:37:35.503222+00:00,2026-08-31T18:37:48.525884+00:00,-0.982,196.726,196.726,99.971
GRID_030,grid_live,grid_search,1,2026-08-31T19:05:52.748559+00:00,199.806,12.7517,/Users/thenotoriouscode/Desktop/gaurav-diss-final/data/telemetry_logs/GRID_030_grid_live_run_1_20260831_190539_996335.csv,True,979765,2026-08-31T20:05:52.748362,99179e3b87e355720cc95e73eb8f5e65e32c498a24d3020007299030d6dba464,9648,2026-08-31T19:05:40.049664+00:00,2026-08-31T19:05:52.748304+00:00,-0.982,199.806,199.806,99.582
GRID_040,grid_live,grid_search,1,2026-08-31T19:06:43.706850+00:00,198.906,12.9436,/Users/thenotoriouscode/Desktop/gaurav-diss-final/data/telemetry_logs/GRID_040_grid_live_run_1_20260831_190630_762814.csv,True,975672,2026-08-31T20:06:43.706635,13174a0c4f5459030c0082fd6c76de5ccad4d02df3d2075288979c9c8d90c7b6,9603,2026-08-31T19:06:30.816199+00:00,2026-08-31T19:06:43.706572+00:00,-0.982,198.906,198.906,99.664
OPTUNA_LIVE_001,optuna_live,optuna,1,2026-08-31T19:07:35.613334+00:00,195.526,12.8679,/Users/thenotoriouscode/Desktop/gaurav-diss-final/data/telemetry_logs/OPTUNA_LIVE_001_optuna_live_run_1_20260831_190722_745120.csv,True,958102,2026-08-31T20:07:35.613118,54df51ca8dfa55d99ba0b70dc9b021d623c938f9cc24c0065109f163fc790964,9434,2026-08-31T19:07:22.799735+00:00,2026-08-31T19:07:35.613070+00:00,-0.982,195.526,195.526,97.746
EXP_001,live,rule_based,3,2026-09-01T13:13:02.610746+00:00,196.726,11.8188,/Users/thenotoriouscode/Desktop/gaurav-diss-final/data/telemetry_logs/EXP_001_live_run_3_20260901_131250_791474.csv,True,964351,2026-09-01T14:13:02.610551,be81d34663192e2bac6bac18ba658fe6897b817eb6696e4ba7c8b4b0564f0c4d,9494,2026-09-01T13:12:50.846693+00:00,2026-09-01T13:13:02.610520+00:00,-0.982,196.726,196.726,99.971
GRID_030,grid_live,grid_search,2,2026-09-01T13:13:17.869810+00:00,199.806,12.1536,/Users/thenotoriouscode/Desktop/gaurav-diss-final/data/telemetry_logs/GRID_030_grid_live_run_2_20260901_131305_715902.csv,True,979765,2026-09-01T14:13:17.869623,97274b0afb93fdbb15d3caff7893b144618d7b2984637befba47c66a6a536d39,9648,2026-09-01T13:13:05.766004+00:00,2026-09-01T13:13:17.869576+00:00,-0.982,199.806,199.806,99.582
GRID_030,grid_live,grid_search,3,2026-09-01T13:13:33.249063+00:00,199.806,12.2751,/Users/thenotoriouscode/Desktop/gaurav-diss-final/data/telemetry_logs/GRID_030_grid_live_run_3_20260901_131320_973564.csv,True,979765,2026-09-01T14:13:33.248855,f6a93f35c29030bb0421b681771ad7fa827a2a6fc76ebbde660cf7fdf0ab2875,9648,2026-09-01T13:13:21.025388+00:00,2026-09-01T13:13:33.248812+00:00,-0.982,199.806,199.806,99.582
